id_transaccion,codigo_transaccion,fecha_hora,monto_transaccion,estado,tipo_transaccion,plataforma,id_factura
1,TXN001,2024-06-01 10:00:00,38940,Pendiente,Pago de Factura,Nequi,1
2,TXN002,2024-07-09 12:00:00,75145,Pendiente,Pago de Factura,Daviplata,2
3,TXN003,2024-06-13 10:00:00,179217,Fallida,Pago de Factura,Daviplata,3
4,TXN004,2024-07-26 13:00:00,51767,Fallida,Pago de Factura,Daviplata,4
5,TXN005,2024-07-28 06:00:00,156501,Completada,Pago de Factura,Daviplata,5
6,TXN006,2024-07-16 21:00:00,32428,Completada,Pago de Factura,Nequi,6
7,TXN007,2024-07-26 22:00:00,75301,Pendiente,Pago de Factura,Daviplata,7
8,TXN008,2024-06-17 16:00:00,16870,Pendiente,Pago de Factura,Nequi,8
9,TXN009,2024-07-10 23:00:00,21794,Fallida,Pago de Factura,Nequi,9
10,TXN010,2024-06-19 23:00:00,193307,Completada,Pago de Factura,Daviplata,10
11,TXN011,2024-06-01 06:00:00,159093,Completada,Pago de Factura,Daviplata,11
12,TXN012,2024-07-12 19:00:00,174518,Pendiente,Pago de Factura,Nequi,12
13,TXN013,2024-07-04 12:00:00,110254,Fallida,Pago de Factura,Daviplata,13
14,TXN014,2024-07-12 04:00:00,162283,Pendiente,Pago de Factura,Nequi,14
15,TXN015,2024-06-21 12:00:00,22161,Pendiente,Pago de Factura,Daviplata,15
16,TXN016,2024-07-08 12:00:00,195775,Pendiente,Pago de Factura,Daviplata,16
17,TXN017,2024-06-27 03:00:00,20824,Fallida,Pago de Factura,Nequi,17
18,TXN018,2024-07-09 05:00:00,191134,Completada,Pago de Factura,Nequi,18
19,TXN019,2024-06-16 20:00:00,62979,Completada,Pago de Factura,Daviplata,19
20,TXN020,2024-06-08 22:00:00,36472,Fallida,Pago de Factura,Daviplata,20
21,TXN021,2024-06-16 06:00:00,127881,Completada,Pago de Factura,Nequi,21
22,TXN022,2024-07-30 03:00:00,26317,Fallida,Pago de Factura,Daviplata,22
23,TXN023,2024-07-27 01:00:00,147364,Pendiente,Pago de Factura,Nequi,23
24,TXN024,2024-06-26 01:00:00,153404,Pendiente,Pago de Factura,Daviplata,24
25,TXN025,2024-07-07 10:00:00,14210,Completada,Pago de Factura,Nequi,25
26,TXN026,2024-06-08 19:00:00,49012,Completada,Pago de Factura,Daviplata,26
27,TXN027,2024-06-28 06:00:00,40302,Fallida,Pago de Factura,Daviplata,27
28,TXN028,2024-07-03 01:00:00,27833,Pendiente,Pago de Factura,Daviplata,28
29,TXN029,2024-07-29 02:00:00,30313,Fallida,Pago de Factura,Nequi,29
30,TXN030,2024-07-26 20:00:00,134884,Fallida,Pago de Factura,Daviplata,30
31,TXN031,2024-07-03 10:00:00,28982,Completada,Pago de Factura,Nequi,31
32,TXN032,2024-06-15 17:00:00,158030,Pendiente,Pago de Factura,Nequi,32
33,TXN033,2024-06-24 08:00:00,196009,Fallida,Pago de Factura,Daviplata,33
34,TXN034,2024-06-22 17:00:00,68526,Pendiente,Pago de Factura,Daviplata,34
35,TXN035,2024-06-23 12:00:00,165287,Completada,Pago de Factura,Nequi,35
36,TXN036,2024-06-28 11:00:00,178265,Fallida,Pago de Factura,Nequi,36
37,TXN037,2024-07-23 18:00:00,98069,Completada,Pago de Factura,Nequi,37
38,TXN038,2024-07-28 00:00:00,153150,Completada,Pago de Factura,Nequi,38
39,TXN039,2024-06-05 12:00:00,86902,Pendiente,Pago de Factura,Daviplata,39
40,TXN040,2024-06-28 04:00:00,96457,Pendiente,Pago de Factura,Nequi,40
41,TXN041,2024-06-07 20:00:00,145586,Fallida,Pago de Factura,Daviplata,41
42,TXN042,2024-07-15 19:00:00,163425,Fallida,Pago de Factura,Nequi,42
43,TXN043,2024-07-26 02:00:00,186218,Pendiente,Pago de Factura,Nequi,43
44,TXN044,2024-07-12 01:00:00,159000,Fallida,Pago de Factura,Daviplata,44
45,TXN045,2024-07-21 21:00:00,94554,Pendiente,Pago de Factura,Daviplata,45
46,TXN046,2024-07-26 11:00:00,152659,Fallida,Pago de Factura,Daviplata,46
47,TXN047,2024-06-05 17:00:00,165021,Pendiente,Pago de Factura,Daviplata,47
48,TXN048,2024-06-10 10:00:00,115066,Completada,Pago de Factura,Daviplata,48
49,TXN049,2024-06-03 20:00:00,161029,Completada,Pago de Factura,Daviplata,49
50,TXN050,2024-07-29 03:00:00,167924,Completada,Pago de Factura,Nequi,50
51,TXN051,2024-07-24 19:00:00,147991,Pendiente,Pago de Factura,Daviplata,51
52,TXN052,2024-07-26 11:00:00,124048,Completada,Pago de Factura,Nequi,52
53,TXN053,2024-07-13 23:00:00,138162,Completada,Pago de Factura,Nequi,53
54,TXN054,2024-06-28 00:00:00,161137,Fallida,Pago de Factura,Nequi,54
55,TXN055,2024-06-17 03:00:00,35669,Fallida,Pago de Factura,Daviplata,55
56,TXN056,2024-07-06 07:00:00,67867,Fallida,Pago de Factura,Nequi,56
57,TXN057,2024-07-25 20:00:00,58242,Fallida,Pago de Factura,Nequi,57
58,TXN058,2024-06-09 20:00:00,113319,Pendiente,Pago de Factura,Nequi,58
59,TXN059,2024-07-11 23:00:00,37708,Completada,Pago de Factura,Daviplata,59
60,TXN060,2024-07-20 16:00:00,54969,Pendiente,Pago de Factura,Nequi,60
61,TXN061,2024-07-08 23:00:00,51411,Completada,Pago de Factura,Daviplata,61
62,TXN062,2024-07-17 05:00:00,45233,Completada,Pago de Factura,Nequi,62
63,TXN063,2024-06-10 01:00:00,99926,Fallida,Pago de Factura,Nequi,63
64,TXN064,2024-06-20 12:00:00,31572,Completada,Pago de Factura,Nequi,64
65,TXN065,2024-06-14 03:00:00,123720,Pendiente,Pago de Factura,Nequi,65
66,TXN066,2024-07-29 14:00:00,17171,Fallida,Pago de Factura,Daviplata,66
67,TXN067,2024-07-23 09:00:00,56259,Fallida,Pago de Factura,Daviplata,67
68,TXN068,2024-06-20 22:00:00,196548,Fallida,Pago de Factura,Daviplata,68
69,TXN069,2024-06-20 18:00:00,93635,Completada,Pago de Factura,Daviplata,69
70,TXN070,2024-07-15 21:00:00,58585,Completada,Pago de Factura,Daviplata,70
71,TXN071,2024-06-06 18:00:00,86244,Completada,Pago de Factura,Daviplata,71
72,TXN072,2024-07-18 20:00:00,55572,Fallida,Pago de Factura,Nequi,72
73,TXN073,2024-06-21 06:00:00,50713,Fallida,Pago de Factura,Nequi,73
74,TXN074,2024-06-29 18:00:00,129480,Completada,Pago de Factura,Nequi,74
75,TXN075,2024-07-03 20:00:00,41657,Completada,Pago de Factura,Daviplata,75
76,TXN076,2024-06-15 11:00:00,126084,Completada,Pago de Factura,Daviplata,76
77,TXN077,2024-06-04 07:00:00,190936,Fallida,Pago de Factura,Nequi,77
78,TXN078,2024-06-21 21:00:00,78561,Fallida,Pago de Factura,Nequi,78
79,TXN079,2024-07-23 11:00:00,162844,Completada,Pago de Factura,Nequi,79
80,TXN080,2024-06-29 15:00:00,80235,Fallida,Pago de Factura,Nequi,80
81,TXN081,2024-06-18 00:00:00,158138,Pendiente,Pago de Factura,Daviplata,81
82,TXN082,2024-06-06 15:00:00,101593,Pendiente,Pago de Factura,Daviplata,82
83,TXN083,2024-06-22 03:00:00,103741,Pendiente,Pago de Factura,Daviplata,83
84,TXN084,2024-07-04 02:00:00,41300,Pendiente,Pago de Factura,Daviplata,84
85,TXN085,2024-06-19 11:00:00,89956,Completada,Pago de Factura,Daviplata,85
86,TXN086,2024-07-13 05:00:00,165402,Completada,Pago de Factura,Nequi,86
87,TXN087,2024-07-04 09:00:00,106689,Pendiente,Pago de Factura,Nequi,87
88,TXN088,2024-06-14 11:00:00,22411,Completada,Pago de Factura,Nequi,88
89,TXN089,2024-06-27 05:00:00,11359,Pendiente,Pago de Factura,Daviplata,89
90,TXN090,2024-06-08 10:00:00,79808,Pendiente,Pago de Factura,Nequi,90
91,TXN091,2024-07-05 21:00:00,42648,Pendiente,Pago de Factura,Nequi,91
92,TXN092,2024-06-03 05:00:00,101468,Pendiente,Pago de Factura,Daviplata,92
93,TXN093,2024-06-21 17:00:00,115488,Pendiente,Pago de Factura,Daviplata,93
94,TXN094,2024-07-26 00:00:00,61920,Completada,Pago de Factura,Daviplata,94
95,TXN095,2024-07-23 20:00:00,141510,Fallida,Pago de Factura,Nequi,95
96,TXN096,2024-07-08 19:00:00,39792,Pendiente,Pago de Factura,Daviplata,96
97,TXN097,2024-07-09 05:00:00,87689,Completada,Pago de Factura,Daviplata,97
98,TXN098,2024-07-06 00:00:00,178739,Fallida,Pago de Factura,Nequi,98
99,TXN099,2024-07-27 10:00:00,105611,Fallida,Pago de Factura,Daviplata,99
100,TXN100,2024-07-11 07:00:00,141787,Fallida,Pago de Factura,Daviplata,100
